index,BaseDay d 2023-01-02 23:25:00
2023-01-01 00:00:00,14.91
2023-01-02 00:00:00,123.82
2023-01-03 00:00:00,145.95
2023-01-04 00:00:00,46.09
2023-01-05 00:00:00,108.29
2023-01-06 00:00:00,72.58
2023-01-07 00:00:00,101.49
2023-01-08 00:00:00,47.64
2023-01-09 00:00:00,122.08
2023-01-10 00:00:00,134.39
2023-01-11 00:00:00,121.38
